2019-4-8,13:29:37
type,trial,stimulus,selection,RT
Gaussian,1,Ba_Da_Step_1.wav,Ba,1.099010e+00
Gaussian,2,Ba_Da_Step_7.wav,Da,7.621751e-01
Gaussian,3,Ba_Da_Step_5.wav,Da,6.698110e-01
Gaussian,4,Ba_Da_Step_1.wav,Ba,4.861910e-01
Gaussian,5,Ba_Da_Step_2.wav,Ba,7.124369e-01
Gaussian,6,Ba_Da_Step_1.wav,Ba,7.145321e-01
Gaussian,7,Ba_Da_Step_5.wav,Da,8.285570e-01
Gaussian,8,Ba_Da_Step_1.wav,Ba,6.584280e-01
Gaussian,9,Ba_Da_Step_2.wav,Ba,5.504761e-01
Gaussian,10,Ba_Da_Step_7.wav,Da,4.467981e-01
Gaussian,11,Ba_Da_Step_4.wav,Da,8.195291e-01
Gaussian,12,Ba_Da_Step_7.wav,Da,3.731251e-01
Gaussian,13,Ba_Da_Step_2.wav,Ba,3.796370e-01
Gaussian,14,Ba_Da_Step_1.wav,Ba,5.901549e-01
Gaussian,15,Ba_Da_Step_6.wav,Da,2.479799e-01
Gaussian,16,Ba_Da_Step_7.wav,Da,5.302801e-01
Gaussian,17,Ba_Da_Step_1.wav,Ba,3.020720e-01
Gaussian,18,Ba_Da_Step_3.wav,Da,3.424032e-01
Gaussian,19,Ba_Da_Step_1.wav,Ba,8.998930e-01
Gaussian,20,Ba_Da_Step_1.wav,Da,4.441919e-01
Gaussian,21,Ba_Da_Step_3.wav,Ba,1.081352e+00
Gaussian,22,Ba_Da_Step_3.wav,Ba,1.232087e+00
Gaussian,23,Ba_Da_Step_2.wav,Ba,6.350110e-01
Gaussian,24,Ba_Da_Step_7.wav,Da,1.902540e-01
Gaussian,25,Ba_Da_Step_4.wav,Da,5.711441e-01
Gaussian,26,Ba_Da_Step_1.wav,Ba,5.557330e-01
Gaussian,27,Ba_Da_Step_5.wav,Da,1.681969e-01
Gaussian,28,Ba_Da_Step_1.wav,Ba,5.478349e-01
Gaussian,29,Ba_Da_Step_1.wav,Ba,9.206738e-01
Gaussian,30,Ba_Da_Step_1.wav,Ba,1.269150e+00
Gaussian,31,Ba_Da_Step_5.wav,Da,3.893411e-01
Gaussian,32,Ba_Da_Step_7.wav,Da,7.084670e-01
Gaussian,33,Ba_Da_Step_1.wav,Ba,4.741061e-01
Gaussian,34,Ba_Da_Step_7.wav,Da,2.481561e-01
Gaussian,35,Ba_Da_Step_3.wav,Ba,2.905641e-01
Gaussian,36,Ba_Da_Step_7.wav,Da,1.336159e+00
Gaussian,37,Ba_Da_Step_5.wav,Da,6.152160e-01
Gaussian,38,Ba_Da_Step_7.wav,Da,3.858540e-01
Gaussian,39,Ba_Da_Step_1.wav,Ba,2.445459e-01
Gaussian,40,Ba_Da_Step_1.wav,Ba,5.145478e-01
Gaussian,41,Ba_Da_Step_6.wav,Da,3.059762e-01
Gaussian,42,Ba_Da_Step_2.wav,Ba,5.021095e-02
Gaussian,43,Ba_Da_Step_2.wav,Ba,4.100640e-01
Gaussian,44,Ba_Da_Step_6.wav,Da,1.058960e-01
Gaussian,45,Ba_Da_Step_7.wav,Ba,1.311860e-01
Gaussian,46,Ba_Da_Step_6.wav,Da,3.021760e-01
Gaussian,47,Ba_Da_Step_7.wav,Da,2.101431e-01
Gaussian,48,Ba_Da_Step_3.wav,Ba,1.535106e-02
Gaussian,49,Ba_Da_Step_7.wav,Da,4.993892e-02
Gaussian,50,Ba_Da_Step_7.wav,Ba,1.811028e-03
Gaussian,51,Ba_Da_Step_7.wav,Da,9.076819e-01
Gaussian,52,Ba_Da_Step_7.wav,Da,5.717649e-01
Gaussian,53,Ba_Da_Step_5.wav,Da,6.491830e-01
Gaussian,54,Ba_Da_Step_2.wav,Ba,2.213879e-01
Gaussian,55,Ba_Da_Step_2.wav,Da,3.348739e-01
Gaussian,56,Ba_Da_Step_3.wav,Ba,1.184394e+00
Gaussian,57,Ba_Da_Step_6.wav,Da,2.656989e-01
Gaussian,58,Ba_Da_Step_6.wav,Ba,1.366060e-01
Gaussian,59,Ba_Da_Step_5.wav,Da,7.114849e-01
Gaussian,60,Ba_Da_Step_4.wav,Da,4.765830e-01
Gaussian,61,Ba_Da_Step_5.wav,Da,1.018601e+00
