2018-6-14,10:39:35
type,trial,stimulus,selection,RT
Gaussian,1,Ba_Da_Step_7.wav,Da,4.231451e-01
Gaussian,2,Ba_Da_Step_7.wav,Da,5.341511e-01
Gaussian,3,Ba_Da_Step_1.wav,Ba,2.210062e-01
Gaussian,4,Ba_Da_Step_1.wav,Ba,1.173720e-01
Gaussian,5,Ba_Da_Step_4.wav,Ba,3.009701e-02
Gaussian,6,Ba_Da_Step_6.wav,Ba,1.607800e-02
Gaussian,7,Ba_Da_Step_2.wav,Ba,4.940104e-02
Gaussian,8,Ba_Da_Step_1.wav,Ba,1.199250e-01
Gaussian,9,Ba_Da_Step_3.wav,Ba,1.044250e-01
Gaussian,10,Ba_Da_Step_6.wav,Ba,1.488628e-01
Gaussian,11,Ba_Da_Step_1.wav,Ba,9.896612e-02
Gaussian,12,Ba_Da_Step_1.wav,Ba,1.308041e-01
Gaussian,13,Ba_Da_Step_7.wav,Ba,1.919811e-01
Gaussian,14,Ba_Da_Step_2.wav,Ba,1.196220e-01
Gaussian,15,Ba_Da_Step_2.wav,Ba,1.284041e-01
Gaussian,16,Ba_Da_Step_5.wav,Ba,2.294350e-01
Gaussian,17,Ba_Da_Step_2.wav,Ba,2.340031e-01
Gaussian,18,Ba_Da_Step_7.wav,Da,2.706878e-01
Gaussian,19,Ba_Da_Step_6.wav,Ba,3.570132e-01
Gaussian,20,Ba_Da_Step_1.wav,Ba,3.459630e-01
Gaussian,21,Ba_Da_Step_1.wav,Ba,2.506869e-01
Gaussian,22,Ba_Da_Step_3.wav,Ba,1.038539e-01
Gaussian,23,Ba_Da_Step_2.wav,Ba,6.031203e-02
Gaussian,24,Ba_Da_Step_6.wav,Da,3.474300e-01
Gaussian,25,Ba_Da_Step_1.wav,Ba,3.633213e-02
Gaussian,26,Ba_Da_Step_4.wav,Ba,3.447795e-02
Gaussian,27,Ba_Da_Step_2.wav,Ba,4.125030e-01
Gaussian,28,Ba_Da_Step_1.wav,Ba,5.754361e-01
Gaussian,29,Ba_Da_Step_5.wav,Ba,4.961019e-01
Gaussian,30,Ba_Da_Step_7.wav,Da,5.453010e-01
Gaussian,31,Ba_Da_Step_2.wav,Ba,5.566511e-01
Gaussian,32,Ba_Da_Step_5.wav,Ba,1.562119e-01
Gaussian,33,Ba_Da_Step_7.wav,Da,3.025131e-01
Gaussian,34,Ba_Da_Step_7.wav,Da,2.178459e-01
Gaussian,35,Ba_Da_Step_7.wav,Da,3.221879e-01
Gaussian,36,Ba_Da_Step_1.wav,Ba,3.045652e-01
Gaussian,37,Ba_Da_Step_6.wav,Da,3.960950e-01
Gaussian,38,Ba_Da_Step_1.wav,Ba,1.581821e-01
Gaussian,39,Ba_Da_Step_6.wav,Da,5.366411e-01
Gaussian,40,Ba_Da_Step_7.wav,Da,5.112751e-01
Gaussian,41,Ba_Da_Step_2.wav,Ba,9.777079e-01
