2018-7-12,10:38:2
type,trial,stimulus,selection,RT
Gaussian,1,Ba_Da_Step_6.wav,Da,6.969249e-01
Gaussian,2,Ba_Da_Step_2.wav,Ba,5.935020e-01
Gaussian,3,Ba_Da_Step_3.wav,Ba,6.267381e-01
Gaussian,4,Ba_Da_Step_1.wav,Ba,3.726571e-01
Gaussian,5,Ba_Da_Step_6.wav,Da,2.343512e-01
Gaussian,6,Ba_Da_Step_7.wav,Da,7.035429e-01
Gaussian,7,Ba_Da_Step_7.wav,Da,5.436680e-01
Gaussian,8,Ba_Da_Step_1.wav,Ba,6.508431e-01
Gaussian,9,Ba_Da_Step_1.wav,Ba,6.340420e-01
Gaussian,10,Ba_Da_Step_7.wav,Da,5.919933e-04
Gaussian,11,Ba_Da_Step_7.wav,Ba,1.333130e+00
Gaussian,12,Ba_Da_Step_5.wav,Da,2.322764e+00
Gaussian,13,Ba_Da_Step_5.wav,Da,2.405674e+00
Gaussian,14,Ba_Da_Step_1.wav,Ba,3.879561e-01
Gaussian,15,Ba_Da_Step_7.wav,Da,8.538980e-01
Gaussian,16,Ba_Da_Step_6.wav,Da,3.479570e+00
Gaussian,17,Ba_Da_Step_1.wav,Ba,1.041317e+00
Gaussian,18,Ba_Da_Step_2.wav,Ba,1.193362e+00
Gaussian,19,Ba_Da_Step_1.wav,Ba,9.784310e-01
Gaussian,20,Ba_Da_Step_6.wav,Da,5.084159e-01
Gaussian,21,Ba_Da_Step_5.wav,Ba,2.986447e+00
Gaussian,22,Ba_Da_Step_1.wav,Ba,3.988013e+00
Gaussian,23,Ba_Da_Step_1.wav,Ba,1.711000e+00
Gaussian,24,Ba_Da_Step_1.wav,Ba,1.269594e+00
Gaussian,25,Ba_Da_Step_4.wav,Da,4.052038e-01
Gaussian,26,Ba_Da_Step_1.wav,Ba,9.877090e-01
Gaussian,27,Ba_Da_Step_7.wav,Da,6.982579e-01
Gaussian,28,Ba_Da_Step_7.wav,Da,9.743750e-01
Gaussian,29,Ba_Da_Step_3.wav,Ba,6.920941e-01
Gaussian,30,Ba_Da_Step_6.wav,Da,1.080324e+00
Gaussian,31,Ba_Da_Step_7.wav,Ba,2.405557e+00
Gaussian,32,Ba_Da_Step_2.wav,Da,1.067432e+00
Gaussian,33,Ba_Da_Step_4.wav,Ba,5.803349e-01
Gaussian,34,Ba_Da_Step_2.wav,Da,5.885570e-01
Gaussian,35,Ba_Da_Step_2.wav,Ba,4.653251e-01
Gaussian,36,Ba_Da_Step_2.wav,Ba,7.134421e-01
Gaussian,37,Ba_Da_Step_2.wav,Ba,5.265579e-01
Gaussian,38,Ba_Da_Step_6.wav,Da,2.131939e-01
Gaussian,39,Ba_Da_Step_2.wav,Ba,2.329201e+00
Gaussian,40,Ba_Da_Step_1.wav,Ba,8.404100e-01
Gaussian,41,Ba_Da_Step_7.wav,Da,2.378120e-01
Gaussian,42,Ba_Da_Step_1.wav,Ba,1.206794e+00
Gaussian,43,Ba_Da_Step_5.wav,Da,5.245318e-01
Gaussian,44,Ba_Da_Step_7.wav,Da,1.083350e+00
Gaussian,45,Ba_Da_Step_7.wav,Da,1.004693e+00
Gaussian,46,Ba_Da_Step_6.wav,Da,7.593532e-01
Gaussian,47,Ba_Da_Step_7.wav,Da,6.059480e-01
Gaussian,48,Ba_Da_Step_5.wav,Da,6.631329e-01
Gaussian,49,Ba_Da_Step_3.wav,Da,8.026218e-01
Gaussian,50,Ba_Da_Step_7.wav,Da,7.506380e-01
Gaussian,51,Ba_Da_Step_7.wav,Da,1.152765e+00
Gaussian,52,Ba_Da_Step_1.wav,Ba,4.124510e-01
Gaussian,53,Ba_Da_Step_3.wav,Ba,9.113030e-01
Gaussian,54,Ba_Da_Step_2.wav,Ba,8.788722e-01
Gaussian,55,Ba_Da_Step_6.wav,Da,6.256430e-01
Gaussian,56,Ba_Da_Step_7.wav,Da,1.235434e+00
Gaussian,57,Ba_Da_Step_6.wav,Da,1.278017e+00
Gaussian,58,Ba_Da_Step_6.wav,Da,1.093798e+00
Gaussian,59,Ba_Da_Step_4.wav,Da,7.993841e-01
Gaussian,60,Ba_Da_Step_1.wav,Ba,6.593809e-01
Gaussian,61,Ba_Da_Step_2.wav,Ba,7.622552e-01
Gaussian,62,Ba_Da_Step_6.wav,Da,7.127042e-01
Gaussian,63,Ba_Da_Step_7.wav,Da,7.738271e-01
Gaussian,64,Ba_Da_Step_1.wav,Ba,3.450341e-01
Gaussian,65,Ba_Da_Step_7.wav,Da,8.415492e-01
Gaussian,66,Ba_Da_Step_1.wav,Ba,5.027258e-01
Gaussian,67,Ba_Da_Step_7.wav,Da,4.530139e-01
Gaussian,68,Ba_Da_Step_7.wav,Ba,3.240108e-04
Gaussian,69,Ba_Da_Step_7.wav,Da,6.738439e-01
Gaussian,70,Ba_Da_Step_3.wav,Ba,3.731101e-01
Gaussian,71,Ba_Da_Step_3.wav,Da,3.596950e-01
Gaussian,72,Ba_Da_Step_1.wav,Ba,2.447178e-01
Gaussian,73,Ba_Da_Step_7.wav,Da,2.103789e-01
Gaussian,74,Ba_Da_Step_1.wav,Ba,5.340650e-01
Gaussian,75,Ba_Da_Step_4.wav,Da,3.167460e-01
Gaussian,76,Ba_Da_Step_2.wav,Ba,3.201420e-01
Gaussian,77,Ba_Da_Step_2.wav,Da,3.681250e-01
Gaussian,78,Ba_Da_Step_5.wav,Ba,4.173698e-01
Gaussian,79,Ba_Da_Step_7.wav,Da,3.402202e-01
Gaussian,80,Ba_Da_Step_7.wav,Ba,4.610479e-01
Gaussian,81,Ba_Da_Step_1.wav,Da,4.812710e-01
Gaussian,82,Ba_Da_Step_1.wav,Ba,3.941400e-01
Gaussian,83,Ba_Da_Step_7.wav,Da,4.443421e-01
Gaussian,84,Ba_Da_Step_1.wav,Ba,5.082870e-01
Gaussian,85,Ba_Da_Step_6.wav,Ba,5.544062e-01
Gaussian,86,Ba_Da_Step_1.wav,Ba,6.738510e-01
Gaussian,87,Ba_Da_Step_7.wav,Da,3.014910e-01
Gaussian,88,Ba_Da_Step_6.wav,Da,3.163860e-01
Gaussian,89,Ba_Da_Step_1.wav,Ba,1.677721e-01
Gaussian,90,Ba_Da_Step_1.wav,Da,5.448890e-02
Gaussian,91,Ba_Da_Step_2.wav,Ba,1.933110e-01
Gaussian,92,Ba_Da_Step_4.wav,Da,8.078098e-02
Gaussian,93,Ba_Da_Step_2.wav,Ba,3.563659e-01
Gaussian,94,Ba_Da_Step_6.wav,Da,3.933241e-01
Gaussian,95,Ba_Da_Step_2.wav,Ba,5.718000e-01
Gaussian,96,Ba_Da_Step_7.wav,Da,3.157802e-01
Gaussian,97,Ba_Da_Step_2.wav,Ba,8.349609e-02
Gaussian,98,Ba_Da_Step_1.wav,Ba,9.272101e-01
Gaussian,99,Ba_Da_Step_1.wav,Da,4.351649e-01
Gaussian,100,Ba_Da_Step_6.wav,Ba,6.070969e-01
Gaussian,101,Ba_Da_Step_1.wav,Ba,7.919919e-01
Gaussian,102,Ba_Da_Step_7.wav,Da,7.638869e-01
Gaussian,103,Ba_Da_Step_2.wav,Ba,3.304710e-01
Gaussian,104,Ba_Da_Step_6.wav,Da,4.626360e-01
Gaussian,105,Ba_Da_Step_6.wav,Ba,2.993362e-01
